Date,Close,Open,High,Low,Volume,Change_pct
15.9.2023,154.25,157.2,157.6,154.2,937820,-0.90%
14.9.2023,155.65,155.9,157.8,154.45,210630,-0.16%
13.9.2023,155.9,156.05,156.45,153.7,199610,-0.51%
12.9.2023,156.7,157.35,158.5,154.55,196780,0.29%
11.9.2023,156.25,155.2,157.7,154.4,245180,1.40%
8.9.2023,154.1,149.2,154.65,149.2,270850,4.23%
7.9.2023,147.85,151,151.8,146.65,261130,-2.09%
6.9.2023,151,153.7,155.9,150.6,224520,-1.66%
5.9.2023,153.55,156.35,160,153.5,255930,-1.76%
4.9.2023,156.3,151,161.2,151,454900,3.89%
1.9.2023,150.45,147.8,151.45,145,232540,1.97%
31.8.2023,147.55,153.2,155.6,147.4,580780,-3.91%
30.8.2023,153.55,155.5,156.65,152.95,145450,-1.54%
29.8.2023,155.95,155,156.25,152.6,128470,0.71%
28.8.2023,154.85,157.9,158,153.6,128850,-0.80%
25.8.2023,156.1,153.5,157.1,152.1,160790,0.74%
24.8.2023,154.95,160.45,163.35,154.75,225660,-3.04%
23.8.2023,159.8,157.6,159.8,155.05,238260,1.72%
22.8.2023,157.1,156.5,158.65,154.1,205530,0.96%
21.8.2023,155.6,154.55,157.65,154,239470,1.04%
18.8.2023,154,150,154.35,150,209940,3.08%
17.8.2023,149.4,150,153.1,148.2,183960,-0.43%
16.8.2023,150.05,157,159.45,149.65,301650,-4.58%
14.8.2023,157.25,156.65,157.9,156.2,80210,0.00%
11.8.2023,157.25,158.1,158.95,156.2,122060,-1.41%
10.8.2023,159.5,156.4,161,156.1,144450,2.70%
9.8.2023,155.3,160.2,161.9,155.3,175250,-2.85%
8.8.2023,159.85,162.25,162.7,159.25,142970,-1.60%
7.8.2023,162.45,162.1,163,160.5,110860,-0.40%
4.8.2023,163.1,163.4,164.85,162.15,208630,0.25%
3.8.2023,162.7,158,162.75,157.5,264370,2.13%
2.8.2023,159.3,159.6,160.4,155.2,246520,-0.93%
1.8.2023,160.8,162.5,162.5,158.9,202070,-1.56%
31.7.2023,163.35,164.6,165.5,162.25,304430,-0.64%
28.7.2023,164.4,164,164.45,162.1,243330,0.06%
27.7.2023,164.3,158,165.5,158,541170,4.09%
26.7.2023,157.85,158,159.3,153.25,184110,0.06%
25.7.2023,157.75,158.55,159,156.2,183940,-0.32%
24.7.2023,158.25,157.5,160,156.65,200450,-0.94%
21.7.2023,159.75,160,160.8,156.45,251660,-0.28%
20.7.2023,160.2,158.55,160.35,157.2,167290,0.12%
19.7.2023,160,159.8,161,156.55,232120,0.34%
18.7.2023,159.45,159.6,159.7,156.5,159920,-0.03%
17.7.2023,159.5,153.8,160.6,152.2,283200,3.44%
14.7.2023,154.2,154,156.2,151.6,179120,0.10%
13.7.2023,154.05,152.55,158.15,151.15,386530,2.36%
12.7.2023,150.5,144.5,151.7,144.5,302760,4.12%
11.7.2023,144.55,145.95,147.15,143.75,127770,-0.65%
